track_id,track_name,artists,popularity
0kTMK4gNFfLXaTb62w1UaJ,BABY OTAKU,Pablo Pesadilla;Polimá Westcoast;Nickoog Clk;Fran C,88
6DoL1yYIwEW7VZMRaJhoJI,La Llevo Al Cielo (Ft. Ñengo Flow),Chris Jedi;Anuel AA;Chencho Corleone;Ñengo Flow,88
5FVd6KXrgO9B3JPmC8OPst,Do I Wanna Know?,Arctic Monkeys,88
02MWAaffLxlfxAUY7c5dvx,Heat Waves,Glass Animals,88
7795WJLVKJoAyVoOtCWqXN,I'm Not The Only One,Sam Smith,88
6VBhH7CyP56BXjp8VsDFPZ,"Kesariya (From ""Brahmastra"")",Pritam;Arijit Singh;Amitabh Bhattacharya,88
2HZLXBOnaSRhXStMLrq9fD,Mary On A Cross,Ghost,88
4ZtFanR9U6ndgddUvNcjcG,good 4 u,Olivia Rodrigo,88
5O2P9iiztwhomNh8xkR9lJ,Night Changes,One Direction,88
68Dni7IE4VyPkTOH9mRWHr,No Role Modelz,J. Cole,88
0fea68AdmYNygeTGI4RC18,LA CANCIÓN,J Balvin;Bad Bunny,88
0pqnGHJpmpxLKifKRmU6WP,Believer,Imagine Dragons,88
2Ch7LmS7r2Gy2kc64wv3Bz,Die For You,The Weeknd,88
7lQ8MOhq6IN2w8EYcFNSUk,Without Me,Eminem,88
4cacyP5c3PMlfnyjpg13xW,Betty (Get Money),Yung Gravy,87
7qEHsqek33rTcFNT9PFqLf,Someone You Loved,Lewis Capaldi,87
4d4ZXH4dr5bYfgErHiZCX2,Dos Mil 16,Bad Bunny,87
7fZBQnc0zXwVybgCIrQQil,Belly Dancer,Imanbek;BYOR,87
3w3y8KPTfNeOKPiqUTakBh,Locked out of Heaven,Bruno Mars,87
0xzI1KAr0Yd9tv8jlIk3sn,Bad Decisions (with BTS & Snoop Dogg),benny blanco;BTS;Snoop Dogg,87
6HU7h9RYOaPRFeh0R3UeAr,deja vu,Olivia Rodrigo,87
4RvWPyQ5RL0ao9LPZeSouE,Everybody Wants To Rule The World,Tears For Fears,87
3kUq4sBcmxhnOtNysZ9yrp,Feliz Cumpleaños Ferxxo,Feid,87
4xqrdfXkTW4T0RauPLv3WA,Heather,Conan Gray,87
5E30LdtzQTGqRvNd7l6kG5,Daddy Issues,The Neighbourhood,87
62ke5zFUJN6RvtXZgVH0F8,Only Love Can Hurt Like This,Paloma Faith,87
5CzixCxDkRXX9mScCmah8O,Un Ratito,Bad Bunny,87
5TXDeTFVRVY7Cvt0Dw4vWW,Revenge,XXXTENTACION,87
